"icb_code","integrated_care_board_name","n_practices","mean_copd008_patients_receiving_intervention_percentage","mean_copd010_patients_receiving_intervention_percentage","mean_copd_overall_percentage"
"QE1","NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD",441,39.6581894369677,65.4636324025475,52.561
"QF7","NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD",372,37.8122350163877,55.0714507461908,46.3338285714286
"QGH","NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD",201,28.7848733969066,67.2271124025378,48.005625
"QH8","NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD",352,44.0107790384214,63.7306860773231,53.7481208053691
"QHG","NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",192,31.3443336660393,61.1082946137159,46.226
"QHL","NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD",414,35.047763614152,62.8844734125458,49.0156593406593
"QHM","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD",722,36.412902652448,64.1898440479585,50.3042857142857
"QJ2","NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD",191,37.964700504658,64.0352860261369,51.0003418803419
"QJG","NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD",203,32.7382916060653,61.3783259645295,47.0579120879121
"QJK","NHS DEVON INTEGRATED CARE BOARD",225,28.0091686567944,61.078269113098,44.5440495867769
"QJM","NHS LINCOLNSHIRE INTEGRATED CARE BOARD",153,28.6599105328972,66.3790808106302,47.3483333333333
"QK1","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",251,38.2690943769618,73.7585650270671,56.3296212121212
"QKK","NHS SOUTH EAST LONDON INTEGRATED CARE BOARD",394,38.4299343433567,58.2050147436604,48.3216161616162
"QKS","NHS KENT AND MEDWAY INTEGRATED CARE BOARD",413,39.6262538883368,54.727288215797,47.09953125
"QM7","NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD",308,40.4023696065024,62.1717461096489,51.2866417910448
"QMF","NHS NORTH EAST LONDON INTEGRATED CARE BOARD",437,48.2956097238225,63.6406812856098,55.804358974359
"QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD",294,42.9102693729764,58.7403322128357,50.8252808988764
"QMM","NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD",171,34.6991729964366,56.5977986123118,45.6488571428571
"QNC","NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD",322,42.0777624995578,61.2106174036784,51.5148965517241
"QNQ","NHS FRIMLEY INTEGRATED CARE BOARD",124,46.7631556012198,58.6116581305015,53.0686111111111
"QNX","NHS SUSSEX INTEGRATED CARE BOARD",334,36.8555363055912,57.6289681013977,47.2423125
"QOC","NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",87,40.2446230023995,50.3930979400428,45.3190196078431
"QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD",862,37.2782754288179,59.8201193419275,48.4064600867126
"QOQ","NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD",463,34.4516485002859,61.1933010734569,47.8227777777778
