icb_code,integrated_care_board_name,n_practices,mean_copd008,mean_copd010,mean_overall
QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,441,39.6581894369677,65.46363240254747,52.560910919757596
QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,372,37.81223501638772,55.071450746190756,46.33380792409956
QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,201,28.784873396906598,67.22711240253776,48.00599289972218
QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,352,44.010779038421376,63.73068607732315,53.74821316512588
QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",192,31.34433366603934,61.10829461371587,46.22631413987761
QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,414,35.047763614151975,62.884473412545816,49.015674907138354
QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,722,36.412902652448025,64.18984404795849,50.30441844081265
QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,191,37.96470050465804,64.03528602613692,50.99999326539748
QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,203,32.73829160606528,61.378325964529466,47.05830878529738
QJK,NHS DEVON INTEGRATED CARE BOARD,225,28.009168656794433,61.07826911309796,44.543718884946195
QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,153,28.659910532897207,66.37908081063021,47.34890096621075
QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",251,38.26909437696183,73.75856502706709,56.32997292643142
QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,394,38.429934343356685,58.20501474366039,48.32143935577279
QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,413,39.62625388833684,54.72728821579699,47.09910872831767
QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,308,40.402369606502354,62.171746109648936,51.28705785807564
QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,437,48.29560972382247,63.64068128560975,55.8041512012562
QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,294,42.91026937297641,58.74033221283568,50.82530079290605
QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,171,34.69917299643662,56.59779861231182,45.64848580437422
QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,322,42.077762499557814,61.21061740367837,51.51513271124271
QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,124,46.76315560121981,58.6116581305015,53.068384543442285
QNX,NHS SUSSEX INTEGRATED CARE BOARD,334,36.855536305591244,57.62896810139769,47.242252203494466
QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",87,40.24462300239955,50.39309794004276,45.31886047122116
QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,862,37.27827542881787,59.8201193419275,48.40658730339557
QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,463,34.45164850028588,61.19330107345692,47.8224747868714
QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",173,27.12450969628285,58.319843337298124,42.72217651679048
QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,98,36.36642818201852,55.12096066658712,45.743694424302824
QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,202,38.60736878907235,58.5758887417217,48.591628765397026
QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,272,36.44505533434909,55.7689163601996,46.05446468691875
QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,509,38.95978128948384,53.18692257922014,45.73447578783037
QSL,NHS SOMERSET INTEGRATED CARE BOARD,91,49.59393234283407,68.11968837700016,58.85681035991711
QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,237,39.30799703063439,60.60541763971197,49.95670733517318
QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,158,28.385943909829095,54.930582166004015,41.658263037916555
QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",323,44.501388093063206,60.21567058182518,52.35852933744419
QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,330,29.56802737421913,59.49817625345623,44.41039914025497
QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,187,31.26935915620044,58.877237753308734,45.073298454754585
QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",182,45.63062576687703,60.24894351404374,52.63958315515198
QVV,NHS DORSET INTEGRATED CARE BOARD,135,32.337826413851246,62.09293100762262,47.21537871073693
QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,331,42.67686007156469,58.73994144291205,50.588521936812626
QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,587,32.22320514886312,69.61631373881364,50.83937628395603
QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,247,28.910828849693345,62.812921051344254,46.087951628154755
QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,188,37.77440371733202,52.93817626684909,45.030056820252305
QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,779,38.87619779944351,58.759379496680936,48.90461223073346
