"sub_icb_loc_ons_code","sub_icb_loc_name","n_practices","mean_copd008_patients_receiving_intervention_percentage","mean_copd010_patients_receiving_intervention_percentage","mean_copd_overall_percentage"
"E38000006","NHS South Yorkshire ICB - 02P",32,46.1384892280566,55.8351286128881,50.9871875
"E38000007","NHS Mid and South Essex ICB - 99E",35,39.0477860639155,67.3296277214983,53.1882857142857
"E38000008","NHS Nottingham and Nottinghamshire ICB - 02Q",9,31.2706694725939,64.8627114305318,48.0666666666667
"E38000014","NHS Lancashire and South Cumbria ICB - 00Q",22,37.3010673050041,77.7482142506388,57.5245454545455
"E38000015","NHS Lancashire and South Cumbria ICB - 00R",16,39.4602534781705,59.9473075553728,49.70375
"E38000016","NHS Greater Manchester ICB - 00T",49,20.7093632821836,60.9938711871142,40.6404081632653
"E38000021","NHS Sussex ICB - 09D",33,35.9274864939724,56.9293445210594,46.4284848484848
"E38000024","NHS Greater Manchester ICB - 00V",25,60.9307478926989,50.3544484555301,53.2048
"E38000025","NHS West Yorkshire ICB - 02T",21,30.6766340048376,58.3938315463881,44.5352380952381
"E38000028","NHS Staffordshire and Stoke-on-Trent ICB - 04Y",22,33.1421379073725,61.4954733302346,47.3195454545455
"E38000030","NHS Mid and South Essex ICB - 99F",23,45.5617577001978,51.5297828463313,47.7182608695652
"E38000034","NHS Lancashire and South Cumbria ICB - 00X",26,48.5228355484821,70.160893723913,59.3419230769231
"E38000044","NHS South Yorkshire ICB - 02X",38,41.3313688246684,55.8672844323627,48.5989473684211
"E38000045","NHS Dorset ICB - 11J",73,32.3378264138512,62.0929310076226,47.2158904109589
"E38000049","NHS Hertfordshire and West Essex ICB - 06K",50,42.9484531204954,66.5356821097137,54.742
"E38000050","NHS Lancashire and South Cumbria ICB - 01A",48,36.2170094866463,64.2760101701356,50.2458333333333
"E38000051","NHS Leicester, Leicestershire and Rutland ICB - 03W",31,28.7496141644169,68.2696284000689,48.5086666666667
"E38000052","NHS Humber and North Yorkshire ICB - 02Y",29,35.4133509402649,59.3590475633978,47.3862068965517
"E38000053","NHS Staffordshire and Stoke-on-Trent ICB - 05D",18,40.6207032385124,68.2220008420073,53.4205555555556
"E38000062","NHS Gloucestershire ICB - 11M",71,38.6073687890724,58.5758887417217,48.5914084507042
"E38000068","NHS Cheshire and Merseyside ICB - 01F",14,45.3448262901871,52.2347281512737,48.7914285714286
"E38000079","NHS Hertfordshire and West Essex ICB - 06N",54,39.4583742326861,57.8049029961366,48.6307407407407
"E38000080","NHS Greater Manchester ICB - 01D",36,49.1931427479412,57.0182953059169,53.106
"E38000085","NHS Humber and North Yorkshire ICB - 03F",32,35.6249324147711,49.0576171005302,42.341875
"E38000086","NHS Suffolk and North East Essex ICB - 06L",35,35.8356496078798,63.3132322444395,49.574
"E38000089","NHS Cornwall and The Isles Of Scilly ICB - 11N",57,28.3859439098291,54.930582166004,41.6580701754386
"E38000091","NHS Cheshire and Merseyside ICB - 01J",25,34.7534251111618,51.2274347303318,42.9908
"E38000097","NHS Leicester, Leicestershire and Rutland ICB - 04C",56,46.878280659991,76.7334860742039,62.3971428571429
"E38000101","NHS Cheshire and Merseyside ICB - 99A",85,50.6731786724074,57.655086177087,54.1638823529412
"E38000106","NHS Mid and South Essex ICB - 06Q",39,44.7473691912744,67.5326681120088,56.1397435897436
"E38000117","NHS Suffolk and North East Essex ICB - 06T",32,34.9073171706624,61.7484221694761,48.3275
"E38000119","NHS Humber and North Yorkshire ICB - 03H",24,46.7473172237912,64.0916047880019,55.4195833333333
"E38000122","NHS Humber and North Yorkshire ICB - 03K",19,33.7178964824342,59.284271711116,46.5021052631579
"E38000126","NHS Staffordshire and Stoke-on-Trent ICB - 05G",30,42.3639459714881,57.2346431900119,49.7996666666667
"E38000127","NHS North East and North Cumbria ICB - 99C",25,39.6395907403742,66.7699939911299,53.2044
"E38000130","NHS North East and North Cumbria ICB - 00L",37,27.3361461759095,62.2059985979224,44.7716216216216
"E38000135","NHS Greater Manchester ICB - 00Y",39,36.5629679670749,59.1192509163968,47.84
"E38000136","NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",67,45.5802899344363,57.4202851731493,51.4997014925373
"E38000137","NHS Hampshire and Isle Of Wight ICB - 10R",12,37.0490387096118,52.3054948272924,44.6775
"E38000141","NHS South Yorkshire ICB - 03L",29,32.2483115922425,50.966088059692,41.6068965517241
"E38000143","NHS Greater Manchester ICB - 01G",38,38.5542528374063,49.5423853625293,44.0492105263158
"E38000146","NHS South Yorkshire ICB - 03N",76,34.6280558138829,55.9185053001331,45.0456578947368
"E38000150","NHS Somerset ICB - 11X",64,49.5939323428341,68.1196883770002,58.85703125
"E38000153","NHS Staffordshire and Stoke-on-Trent ICB - 05Q",23,37.4812095177366,53.8845675114034,45.6821739130435
"E38000161","NHS Cheshire and Merseyside ICB - 01T",29,35.8158767488828,54.2487239599252,45.0327586206897
"E38000163","NHS North East and North Cumbria ICB - 00N",21,29.6510282024634,65.1763641632868,47.4133333333333
"E38000168","NHS Mid and South Essex ICB - 99G",25,47.866949548567,54.6062121801085,51.236
"E38000170","NHS Cheshire and Merseyside ICB - 01V",16,34.0599720399094,63.8792267584481,48.96875
"E38000172","NHS Cheshire and Merseyside ICB - 01X",32,26.3783850849,52.0985656134722,39.2384375
"E38000173","NHS Staffordshire and Stoke-on-Trent ICB - 05V",14,42.9992860473189,54.17725462977,48.5871428571429
"E38000174","NHS Greater Manchester ICB - 01W",36,42.9026386379309,67.1576941958697,55.03
"E38000175","NHS Staffordshire and Stoke-on-Trent ICB - 05W",38,50.1195423211676,67.8888732061225,59.0042105263158
"E38000176","NHS North East and North Cumbria ICB - 00P",38,54.9321394168027,68.2534165076287,61.5936842105263
"E38000185","NHS Mid and South Essex ICB - 07G",27,44.546036254485,72.4155884789642,58.4818518518519
"E38000187","NHS Greater Manchester ICB - 02A",27,38.064312136664,63.653507138791,50.8588888888889
"E38000188","NHS Humber and North Yorkshire ICB - 03Q",25,31.408663382527,60.415894864028,45.9128
"E38000190","NHS West Yorkshire ICB - 03R",34,26.1570424291564,69.9164764959099,48.0373529411765
"E38000194","NHS Cheshire and Merseyside ICB - 02E",26,33.3344506313877,52.5602255936918,42.9476923076923
"E38000197","NHS Hertfordshire and West Essex ICB - 07H",30,37.8580887560499,62.7588370471966,50.3083333333333
