sub_icb_loc_ons_code,sub_icb_loc_name,n_practices,mean_copd008,mean_copd010,mean_overall
E38000006,NHS South Yorkshire ICB - 02P,32,46.138489228056606,55.83512861288809,50.98680892047235
E38000007,NHS Mid and South Essex ICB - 99E,35,39.04778606391552,67.32962772149834,53.18870689270693
E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,9,31.27066947259391,64.86271143053182,48.06669045156286
E38000014,NHS Lancashire and South Cumbria ICB - 00Q,22,37.30106730500407,77.74821425063878,57.524640777821425
E38000015,NHS Lancashire and South Cumbria ICB - 00R,16,39.46025347817047,59.94730755537276,49.703780516771616
E38000016,NHS Greater Manchester ICB - 00T,49,20.709363282183595,60.99387118711418,40.64029720115722
E38000021,NHS Sussex ICB - 09D,33,35.92748649397241,56.9293445210594,46.42841550751591
E38000024,NHS Greater Manchester ICB - 00V,25,60.93074789269887,50.35444845553014,53.20536825840655
E38000025,NHS West Yorkshire ICB - 02T,21,30.676634004837553,58.39383154638811,44.535232775612826
E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,22,33.14213790737248,61.49547333023462,47.31880561880355
E38000030,NHS Mid and South Essex ICB - 99F,23,45.56175770019776,51.52978284633125,47.71834075804282
E38000034,NHS Lancashire and South Cumbria ICB - 00X,26,48.522835548482085,70.16089372391305,59.34186463619757
E38000044,NHS South Yorkshire ICB - 02X,38,41.33136882466839,55.86728443236266,48.59932662851552
E38000045,NHS Dorset ICB - 11J,73,32.337826413851246,62.09293100762262,47.21537871073693
E38000049,NHS Hertfordshire and West Essex ICB - 06K,50,42.94845312049535,66.53568210971369,54.74206761510452
E38000050,NHS Lancashire and South Cumbria ICB - 01A,48,36.21700948664627,64.27601017013562,50.24650982839094
E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",31,28.74961416441694,68.26962840006885,48.5096212822429
E38000052,NHS Humber and North Yorkshire ICB - 02Y,29,35.41335094026493,59.3590475633978,47.386199251831364
E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,18,40.62070323851238,68.22200084200729,53.422198138931655
E38000062,NHS Gloucestershire ICB - 11M,71,38.60736878907235,58.5758887417217,48.591628765397026
E38000068,NHS Cheshire and Merseyside ICB - 01F,14,45.34482629018708,52.234728151273735,48.78977722073041
E38000079,NHS Hertfordshire and West Essex ICB - 06N,54,39.45837423268614,57.8049029961366,48.63163861441137
E38000080,NHS Greater Manchester ICB - 01D,36,49.19314274794118,57.01829530591693,53.10571902692905
E38000085,NHS Humber and North Yorkshire ICB - 03F,32,35.62493241477114,49.05761710053023,42.34127475765069
E38000086,NHS Suffolk and North East Essex ICB - 06L,35,35.83564960787977,63.31323224443946,49.57444092615962
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,57,28.385943909829095,54.930582166004015,41.658263037916555
E38000091,NHS Cheshire and Merseyside ICB - 01J,25,34.75342511116182,51.227434730331844,42.99042992074683
E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",56,46.87828065999103,76.73348607420394,62.39734264102621
E38000101,NHS Cheshire and Merseyside ICB - 99A,85,50.67317867240737,57.65508617708699,54.16413242474718
E38000106,NHS Mid and South Essex ICB - 06Q,39,44.74736919127441,67.53266811200876,56.14001865164159
E38000117,NHS Suffolk and North East Essex ICB - 06T,32,34.90731717066243,61.7484221694761,48.32786967006927
E38000119,NHS Humber and North Yorkshire ICB - 03H,24,46.74731722379125,64.09160478800194,55.41946100589659
E38000122,NHS Humber and North Yorkshire ICB - 03K,19,33.71789648243417,59.284271711116,46.50108409677508
E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,30,42.363945971488114,57.23464319001189,49.79929458075
E38000127,NHS North East and North Cumbria ICB - 99C,25,39.63959074037419,66.76999399112991,53.20479236575204
E38000130,NHS North East and North Cumbria ICB - 00L,37,27.336146175909494,62.20599859792237,44.77107238691593
E38000135,NHS Greater Manchester ICB - 00Y,39,36.56296796707491,59.11925091639678,47.841109441735846
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",67,45.58028993443633,57.42028517314934,51.50028755379284
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,12,37.04903870961181,52.305494827292414,44.67726676845211
E38000141,NHS South Yorkshire ICB - 03L,29,32.248311592242544,50.966088059692034,41.607199825967285
E38000143,NHS Greater Manchester ICB - 01G,38,38.55425283740626,49.54238536252928,44.04831909996777
E38000146,NHS South Yorkshire ICB - 03N,76,34.62805581388292,55.91850530013306,45.045464400337714
E38000150,NHS Somerset ICB - 11X,64,49.59393234283407,68.11968837700016,58.85681035991711
E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,23,37.48120951773659,53.88456751140343,45.68288851457001
E38000161,NHS Cheshire and Merseyside ICB - 01T,29,35.81587674888284,54.24872395992524,45.03230035440404
E38000163,NHS North East and North Cumbria ICB - 00N,21,29.65102820246341,65.17636416328682,47.413696182875114
E38000168,NHS Mid and South Essex ICB - 99G,25,47.86694954856695,54.60621218010847,51.23658086433771
E38000170,NHS Cheshire and Merseyside ICB - 01V,16,34.059972039909425,63.879226758448134,48.969599399178776
E38000172,NHS Cheshire and Merseyside ICB - 01X,32,26.378385084899953,52.098565613472225,39.23847534918609
E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,14,42.99928604731888,54.17725462977005,48.58827033854446
